proj,neuron,rank,subcomponent,weight,abs_weight
gate_proj,4549,43,12576,-0.0318,0.0318
gate_proj,4549,44,16578,0.03,0.03
gate_proj,4549,45,3100,-0.02948,0.02948
gate_proj,4549,46,16041,0.02884,0.02884
gate_proj,4549,47,23529,0.0286,0.0286
gate_proj,4549,48,14587,-0.02771,0.02771
gate_proj,4549,49,8472,-0.02751,0.02751
gate_proj,4549,50,6825,0.02746,0.02746
gate_proj,2923,1,12602,-0.11519,0.11519
gate_proj,2923,2,17512,-0.07348,0.07348
gate_proj,2923,3,19599,-0.06745,0.06745
gate_proj,2923,4,20915,0.06097,0.06097
gate_proj,2923,5,11759,0.06056,0.06056
gate_proj,2923,6,20655,0.05897,0.05897
gate_proj,2923,7,11229,-0.05375,0.05375
gate_proj,2923,8,5179,-0.05355,0.05355
gate_proj,2923,9,23104,-0.05315,0.05315
gate_proj,2923,10,12665,-0.05292,0.05292
gate_proj,2923,11,1328,0.05214,0.05214
gate_proj,2923,12,7478,-0.05135,0.05135
gate_proj,2923,13,5430,-0.05031,0.05031
gate_proj,2923,14,21330,-0.04969,0.04969
gate_proj,2923,15,4112,0.0488,0.0488
gate_proj,2923,16,17298,-0.04878,0.04878
gate_proj,2923,17,23529,0.04666,0.04666
gate_proj,2923,18,17747,-0.04579,0.04579
gate_proj,2923,19,1404,0.04329,0.04329
gate_proj,2923,20,24467,0.04244,0.04244
gate_proj,2923,21,16401,0.04092,0.04092
gate_proj,2923,22,11474,-0.04063,0.04063
gate_proj,2923,23,7548,-0.04048,0.04048
gate_proj,2923,24,23053,-0.03995,0.03995
gate_proj,2923,25,20804,-0.03953,0.03953
gate_proj,2923,26,23035,0.0385,0.0385
gate_proj,2923,27,12977,0.03762,0.03762
gate_proj,2923,28,11787,0.03678,0.03678
gate_proj,2923,29,8673,0.03494,0.03494
gate_proj,2923,30,8844,0.03426,0.03426
gate_proj,2923,31,6825,-0.03384,0.03384
gate_proj,2923,32,16432,-0.03362,0.03362
gate_proj,2923,33,14032,0.03335,0.03335
gate_proj,2923,34,3060,0.03309,0.03309
gate_proj,2923,35,6424,0.03188,0.03188
gate_proj,2923,36,14179,-0.03002,0.03002
gate_proj,2923,37,7737,0.02953,0.02953
gate_proj,2923,38,16863,0.02896,0.02896
gate_proj,2923,39,1823,-0.02833,0.02833
gate_proj,2923,40,9854,-0.028,0.028
